,filename,SUM #line_changed
1530,.../enhance/TestSubclassedBehavior.java,575.0
419,.../apache/openjpa/jdbc/sql/ResultSetResult.java,575.0
8309,.../src/doc/manual/img/sqlquerymodel.graffle,574.0
8241,.../serp/bytecode/LookupSwitchInstruction.java,572.0
7613,.../persistence/kernel/TestDependentFields2.java,572.0
2830,.../jdbc/kernel/PagingResultObjectProvider.java,572.0
7212,.../persistence/graph/TestPersistentGraph.java,569.0
8308,.../src/doc/manual/img/secondarytable.graffle,568.0
3187,.../kernel/TestDetachedStateManager.java,568.0
575,.../apache/openjpa/meta/MultiQueryMetaData.java,567.0
4479,.../openjpa/lib/rop/RangeResultObjectProvider.java,567.0
5996,.../org/apache/openjpa/kernel/StoreManager.java,566.0
8336,.../src/doc/manual/supported_databases.xml,565.0
8302,.../src/doc/manual/img/basiccoll.graffle,564.0
8078,.../pudefault/TestPUDefaultCascadePersist.java,563.0
5182,.../openjpa/persistence/jest/XMLFormatter.java,562.0
427,.../apache/openjpa/jdbc/sql/SybaseDictionary.java,562.0
6102,.../org/apache/openjpa/lib/util/SimpleRegex.java,561.0
5940,.../org/apache/openjpa/kernel/AbstractPCData.java,559.0
6138,.../org/apache/openjpa/meta/SequenceMetaData.java,558.0
1321,.../criteria/AbstractCriteriaTestCase.java,557.0
1470,.../doc/manual/img/inhersuperclasstable.graffle,556.0
7924,.../persistence/query/TestComplexQueries.java,555.0
972,.../apache/openjpa/persistence/meta/Members.java,555.0
3046,.../jdbc/procedure/TestStoredProcedure.java,554.0
5942,.../org/apache/openjpa/kernel/AttachManager.java,554.0
6110,.../org/apache/openjpa/lib/util/UUIDGenerator.java,551.0
6069,.../org/apache/openjpa/lib/jdbc/JDBCEvent.java,551.0
8312,.../src/doc/manual/jpa_overview_arch.xml,551.0
5398,.../openjpa/persistence/query/ExpressionImpl.java,547.0
5966,.../org/apache/openjpa/kernel/InverseManager.java,547.0
3520,.../main/java/org/apache/openjpa/jdbc/sql/Row.java,547.0
9452,.../src/test/java/serp/bytecode/TestNameCache.java,546.0
5833,.../org/apache/openjpa/jdbc/kernel/exps/SubQ.java,546.0
2829,.../jdbc/kernel/OperationOrderUpdateManager.java,545.0
